rank,school,year,champion
1,Stanford,2001,False
16,UNC Greensboro,2001,False
8,Georgia Tech,2001,False
9,St. Joseph's,2001,False
5,Cincinnati,2001,False
12,BYU,2001,False
4,Indiana,2001,False
13,Kent State,2001,False
6,Wisconsin,2001,False
11,Georgia State,2001,False
3,Maryland,2001,False
14,George Mason,2001,False
7,Arkansas,2001,False
10,Georgetown,2001,False
2,Iowa State,2001,False
15,Hampton,2001,False
1,Maryland,2002,True
16,Siena,2002,False
8,Wisconsin,2002,False
9,St. John's (NY),2002,False
5,Marquette,2002,False
12,Tulsa,2002,False
4,Kentucky,2002,False
13,Valparaiso,2002,False
6,Texas Tech,2002,False
11,Southern Illinois,2002,False
3,Georgia,2002,False
14,Murray State,2002,False
7,NC State,2002,False
10,Michigan State,2002,False
2,UConn,2002,False
