year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1988,3,23,0.676,11,5,70.2,1.75,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,5,20,0.625,6,6,78.4,6.34,26,19,26,False,0,0,0,0,0,0,0,0,0
1988,2,20,0.667,11,3,75.3,2.01,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,2,25,0.735,11,3,74.8,10.14,26,14,20,False,0,0,0,0,0,0,0,0,0
1988,1,24,0.706,14,0,77.0,-1.58,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,3,27,0.711,9,5,73.8,10.77,7,7,26,False,0,1,0,0,0,0,0,0,1
1988,1,26,0.867,9,1,94.8,-4.2,26,18,18,True,0,0,0,0,0,0,0,0,0
1988,2,24,0.75,10,4,82.9,6.53,26,11,14,False,0,0,0,0,0,0,0,0,0
1988,1,22,0.71,13,1,74.6,-0.97,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,5,20,0.645,10,8,78.7,7.94,26,15,26,False,0,0,0,0,0,0,0,0,0
1988,3,21,0.677,13,5,83.6,5.93,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,1,24,0.774,12,4,79.8,8.15,4,2,8,False,0,0,0,0,0,0,0,0,0
1988,1,22,0.733,14,2,80.0,-1.82,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,1,35,0.897,12,2,102.9,7.61,19,3,4,True,0,1,1,1,1,0,0,0,0
1988,5,20,0.606,8,8,74.9,-4.47,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,2,19,0.633,11,7,76.7,9.25,26,19,26,False,0,0,0,0,0,0,0,0,0
1988,1,26,0.839,12,2,92.7,1.53,26,11,11,True,1,1,0,0,1,1,0,0,0
1988,1,24,0.686,9,3,82.7,9.79,13,13,26,True,0,0,0,0,0,0,0,0,0
1988,2,20,0.645,12,6,67.5,6.11,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,1,26,0.813,13,3,85.5,4.08,26,3,19,False,0,0,0,0,0,0,0,0,0
1988,1,22,0.71,11,3,79.2,0.61,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,4,24,0.649,9,7,71.9,10.54,26,19,26,False,0,0,0,0,0,0,0,0,0
1988,2,21,0.7,11,5,75.5,0.61,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,4,23,0.697,12,6,82.6,9.82,26,13,16,False,0,0,0,0,0,0,0,0,0
1988,3,22,0.71,13,5,78.5,-0.75,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,5,18,0.581,6,8,75.6,8.75,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,2,22,0.733,13,5,71.8,6.11,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,1,27,0.818,13,5,79.3,8.87,5,1,6,True,0,0,0,0,0,0,0,0,0
1988,1,24,0.774,12,2,93.1,-7.49,26,26,26,True,0,0,1,1,1,1,0,0,0
1988,1,35,0.921,17,1,84.8,8.45,17,1,2,True,0,0,0,0,0,0,0,0,0
1988,1,17,0.63,11,3,75.1,-4.77,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,6,22,0.629,8,8,78.4,7.42,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,4,23,0.697,10,6,70.1,3.9,26,18,26,False,0,0,0,0,0,0,0,0,0
1988,3,24,0.706,12,6,93.6,9.76,11,3,17,False,0,0,0,0,0,0,0,0,0
1988,2,19,0.633,7,5,84.3,3.71,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,1,28,0.824,15,3,81.3,5.64,26,2,12,False,0,0,0,0,0,0,0,0,0
1988,1,22,0.759,12,2,71.1,0.16,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,3,23,0.657,11,7,73.1,9.29,14,7,26,False,0,0,0,0,0,0,0,0,0
1988,5,17,0.586,8,8,71.2,9.13,26,20,26,False,0,0,0,0,0,0,0,0,0
1988,2,26,0.765,13,5,86.7,9.06,9,7,10,False,0,0,0,0,0,0,0,0,0
1988,1,24,0.8,13,3,69.1,-0.52,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,2,26,0.813,11,5,77.1,3.7,10,5,13,True,0,0,0,0,0,0,0,0,0
1988,1,28,0.875,14,0,109.1,1.44,26,15,15,True,0,0,0,0,1,1,0,0,0
1988,1,27,0.794,11,3,82.0,10.72,3,1,7,False,0,0,0,0,0,0,0,0,0
1988,1,17,0.567,12,2,76.1,-1.34,26,26,26,True,0,0,0,0,0,0,0,0,0
